id,year,annual_inc,income_cat,loan_amount,recoveries
1077501,2011,24000,1,5000,0
1077430,2011,30000,1,2500,117.08
1077175,2011,12252,1,2400,0
1076863,2011,49200,1,10000,0
1075358,2011,80000,1,3000,0
1075269,2011,36000,1,5000,0
1069639,2011,47004,1,7000,0
1072053,2011,48000,1,3000,0
1071795,2011,40000,1,5600,189.06
1071570,2011,15000,1,5375,269.29
1070078,2011,72000,1,6500,0
1069908,2011,75000,1,12000,0
1064687,2011,30000,1,9000,444.3
1069866,2011,15000,1,3000,0
1069057,2011,100000,1,10000,645.1
1069759,2011,28000,1,1000,0
1065775,2011,42000,1,10000,0
1069971,2011,110000,2,3600,0
1062474,2011,84000,1,6000,0
1069742,2011,77385,1,9200,0
1069740,2011,43370,1,20250,0
1039153,2011,105000,2,21000,0
1069710,2011,50000,1,10000,0
1069700,2011,50000,1,10000,0
1069559,2011,76000,1,6000,269.31
1069697,2011,92000,1,15000,0
1069800,2011,60000,1,15000,0
1069657,2011,50004,1,5000,260.96
1069799,2011,106000,2,4000,0
1047704,2011,25000,1,8500,0
1032111,2011,17108,1,4375,0
1069539,2011,75000,1,31825,0
1065420,2011,29120,1,10000,0
1069591,2011,24044,1,5000,0
1069530,2011,34000,1,7000,0
1069522,2011,41000,1,12400,0
1069361,2011,55596,1,10800,0
1069357,2011,45000,1,15000,0
1069356,2011,36852,1,6000,0
1069346,2011,27000,1,12500,0
1067573,2011,68004,1,9600,0
1069506,2011,62300,1,12000,0
1069314,2011,65000,1,3000,0
1060578,2011,55000,1,4400,0
1069469,2011,45600,1,6000,0
1051117,2011,80000,1,14000,0
1069465,2011,100000,1,5000,107
1069283,2011,27000,1,10000,0
1069287,2011,60000,1,10000,0
1069453,2011,70000,1,11000,0
1069248,2011,80000,1,15000,222.81
1068120,2011,110000,2,25600,0
1069244,2011,40000,1,7000,0
1069243,2011,50000,1,12000,578.94
1069238,2011,46000,1,12000,0
1069410,2011,50000,1,21000,0
1068409,2011,81000,1,16000,0
1068487,2011,39000,1,10000,0
1043961,2011,51400,1,10000,0
1068945,2011,33000,1,7100,0
1069142,2011,30000,1,13000,0
1068934,2011,40000,1,17500,0
1069136,2011,50000,1,17675,0
1068923,2011,62000,1,8000,0
1069126,2011,45996,1,10000,847.3
1069102,2011,55000,1,3500,0
1069093,2011,30000,1,12500,22.5
1069030,2011,44544,1,16425,0
1068906,2011,75000,1,8200,381.89
1069073,2011,61000,1,15000,0
1069043,2011,44000,1,20975,0
1060981,2011,75000,1,6400,10.29
1069071,2011,33600,1,3000,0
1069070,2011,50000,1,12000,0
1068893,2011,150000,2,14400,0
1068882,2011,90000,1,12000,0
1069039,2011,48000,1,11000,0
1068416,2011,75000,1,7250,0
1068997,2011,52000,1,15000,0
1048390,2011,65000,1,18000,0
1068994,2011,150000,2,35000,0
1068475,2011,68000,1,10000,0
1068989,2011,42000,1,11800,0
1068967,2011,53000,1,4500,0
1068744,2011,35000,1,7000,0
1045509,2011,60000,1,9200,0
1063958,2011,28000,1,14000,0
1041756,2011,42000,1,4500,0
1068694,2011,88365,1,12000,0
1068792,2011,72000,1,12000,0
1068558,2011,62000,1,12000,0
1068322,2011,43680,1,7000,0
1065674,2011,120000,2,8200,0
1068547,2011,66000,1,10500,0
1068545,2011,39120,1,7000,0
1068575,2011,85000,1,15300,0
1049528,2011,47800,1,20000,0
1068542,2011,45000,1,17500,3486
1068350,2011,83000,1,3500,0
1067874,2011,81000,1,6000,0
1068509,2011,25000,1,6200,258.27
1034693,2011,65000,1,16000,0
1068508,2011,28800,1,6000,0
1066641,2011,135000,2,7200,0
1068315,2011,50000,1,9500,0
1068309,2011,38000,1,18825,3343.79
1068326,2011,45000,1,24000,0
1066767,2011,80000,1,6000,0
1068484,2011,50000,1,6000,0
1068292,2011,30000,1,2100,0
1068273,2011,110000,2,5500,0
1068274,2011,45608,1,11000,0
1068440,2011,120000,2,26800,0
1046456,2011,35000,1,8000,0
1068012,2011,75000,1,10000,229.06
1055725,2011,35000,1,8000,0
1061814,2011,24000,1,10000,0
1068232,2011,126000,2,12000,0
1068405,2011,43000,1,10000,0
1068395,2011,50000,1,12000,0
1068202,2011,67000,1,25000,2010.58
1068006,2011,45000,1,19750,641.29
1068075,2011,31200,1,10000,0
1065642,2011,66000,1,13650,0
1068179,2011,52000,1,28000,3132.16
1068158,2011,56964,1,18000,0
1068180,2011,49500,1,2500,0
1065673,2011,70000,1,21000,0
1068159,2011,125000,2,35000,0
1068165,2011,33000,1,10000,0
1059689,2011,30000,1,7000,0
1066215,2011,90000,1,24000,0
1063270,2011,23000,1,10625,0
1067931,2011,24000,1,5000,0
1067922,2011,62000,1,8850,0
1067919,2011,44000,1,6375,0
1068106,2011,90000,1,6000,0
