id,City ,SubscriptionFee,SubscriptionType
c20935a0-e691-4730-8aa8-567875eefe26,Luojiang,191.08,Monthly
d9b5da21-88c4-4550-b396-62c1662a49ea,Sidzina,214.45,Monthly
f3b456f3-f735-4d8b-b5d4-fd0d756a8d55,Sedandang,155.36,Yearly
0b790c1e-7c4d-4c77-8aa4-3901fe6d7b8e,Agrelo,189.37,Monthly
6a894538-f43e-46fe-8e90-89956ffac1b6,Ndeaboh,592.58,Weekly
cd68f193-9f13-4a80-8099-b8ae2f5f73b8,,627.51,Weekly
9efb54a0-81ee-49f5-8538-c80bf0348077,Igreja,192.58,Yearly
e244d64a-321f-49e3-a062-dc6520df9ee2,Outjo,327.37,Weekly
2c2fdf54-7d7d-45dd-a396-d77b9baff3f5,Danville,272.54,Yearly
8bb432dd-0df0-48b3-bd73-ad7dbaf003e0,Semibratovo,447.13,Weekly
76895f80-d2e6-4d15-80e7-b67fdc023c02,Baraya,559.41,Yearly
f0d8c051-8032-4583-a723-283f358d46b0,Maria,226.06,Yearly
580749e7-1dfa-4b08-91e4-ff886b22887c,Santa Ana,519.67,Yearly
3419fdae-0cd2-4ad8-a05e-c3687934fc77,Horka nad Moravou,524.73,Monthly
32eb4282-ba02-41df-80c9-9a7c1ff0716c,Příbram,725.61,Once
0542fa93-e79d-43b0-8271-566e811a60a1,Mangulile,325.09,Weekly
089fdbdd-e68c-4664-bdd1-9d6963fe149c,Ruchihe,470.32,Once
b7f64aca-9d2d-4c96-b0e9-94707c397d86,Wenbi,392.23,Weekly
141b0829-4782-4b76-a351-b30007479350,Putrajaya,153.68,Monthly
c42a9ca9-da4b-4d1f-b60b-33a2776d7559,Zhaixi,515.86,Once
62285012-359e-488a-bce8-385a5f9b0848,Columbus,326.52,Monthly
c987bd5d-e3ac-480c-9e65-a0fad290617c,Kaytitinga,522.75,Monthly
871bbd87-ab85-4a63-94c4-f2ef9339c640,Nizhniy Tagil,375.7,Weekly
4690b428-2c19-4862-a56b-35081e1f6a70,Lasi Dua,221.17,Once
88e68811-494e-4e05-8911-14dd23458a1a,Damai,196.59,Weekly
f6f49257-f8da-4807-bcfe-2ff024a91cce,Nanying,224.31,Once
9c94938c-c026-4318-ba43-0487903a4e3a,Mekarjaya Satu,682.37,Monthly
e5b37444-e35c-43ba-8d34-e87f7f3612ce,Pangpang,307.9,Yearly
adcefcd7-97ce-4585-b8c4-e10aa7c6d30b,Talawakele,345.87,Once
9c899a2d-db5c-4a58-b30a-53a0ebe0092b,Selajambe Satu,208.15,Yearly
baa33275-561b-473a-ba0f-c308a4a8f7be,Manggis,444.57,Yearly
04948753-f844-424e-b9b1-047c99ac6e11,Banqiao,683.11,Yearly
981957f2-092a-4c61-b5bb-f413b4142201,Sar-e Pul,595.2,Weekly
7c7ed6d8-94c5-4961-92dc-a040658671a0,Rydułtowy,171.23,Yearly
08c78af9-2edb-44e3-89ee-715ee85d0264,Takahagi,695.84,Once
c37a3ba0-5575-4469-b6fd-1ff5a9c2c630,Yelwa,377,Yearly
15a2b9a2-6544-44d5-9a9d-7632eec2512e,Keruguya,519.3,Yearly
1fe55c23-71c8-4430-b839-c5202e00609c,Battambang,547.38,Weekly
3446d47a-be89-4aeb-b0bb-bf1db8a606e1,Hongjiang,402.63,Once
33f80c2a-80c1-41ac-acc4-c235939a9669,Goz Beïda,193.62,Yearly
114752c6-0431-4e77-a3e5-246b9ea6d7cc,Perštejn,478.12,Weekly
23f27bc8-e668-442f-9bf2-9bd2fbfba27b,Tekik Wetan,298.89,Monthly
7b7da295-14c8-4414-b4f5-19ac387c2ed9,Visoko,327.29,Weekly
180e4736-948d-48f5-977c-52116d7a22f6,,429.38,Weekly
fa015176-dcfe-42e3-9a73-f571b102ad28,Orlando,707.02,Yearly
758c6479-be08-4300-b138-df7673a8b687,Den Haag,411.91,Yearly
0268ed2a-9ebf-4c65-bb32-c42b15735dee,Tayginka,179.08,Monthly
816747b2-592e-4cd0-98a4-c4c8c28a7f40,Virginia,656.26,Monthly
ae786a7f-04f3-438b-8fdf-2673681f3918,Henglu,643.88,Yearly
013f97d2-4c11-4d82-9fc0-030a0dc3c4c3,Las Ánimas,221.19,Monthly
34669fd7-32d7-4703-875e-9339d66d3864,Sanguansi,736.7,Monthly
b3487c73-e19e-4b9c-b9ac-f8ef44b18dfe,Huangtan,676.73,Yearly
b0687ac8-8224-476d-b8b2-7f73c8b97407,Victoria,254.9,Monthly
a54c0af0-b4c8-4e06-bb0e-aae6c5909400,Lampa,573.02,Monthly
838ad098-0a99-4cc0-aa4c-6aece61ebd1d,Ruyigi,507.83,Yearly
07450994-36e7-43a9-b726-5101d5f4de1f,Shanshu,316.47,Monthly
3bc649f7-954f-431c-b5d3-8613c867935f,Taiyanghe,258.29,Weekly
a4bfe8b3-716d-4cc3-b00a-2d0e40704e3e,Shahbā,612.24,Monthly
86bb2920-1f9c-4076-b34c-1c1633cd5bd4,Timóteo,667.99,Monthly
4e561cf4-90d7-45e2-987f-5f7f9f2d7feb,Kołbaskowo,743.97,Monthly
46c1ccc7-6de4-484d-84a7-f295cede34e8,Jõhvi,487.82,Yearly
00757f11-4f8e-45f8-9e82-533e3348bc99,Wolofeo,491.07,Yearly
56fde58f-384f-4ae0-8db9-4b048e66f7da,Vallegrande,283.38,Weekly
76a29128-e4b1-43cc-b174-4f6593525791,Santiaoshi,554.66,Once
